,execucao_id,prova_id,mago,categoria,tarefa,dificuldade,pressao,resistencia_alvo,alvo_movel,contexto,tempo_execucao_s,precisao_pct,potencia_pct,controle_pct,sucesso,dano_colateral,soma_skills
0,E00001,P001,Albus Dumbledore,Ataque,Expelliarmus,1,10,1,0,duelo_real,11.08,83.18,83.76,83.17,1,0,252.03
1,E00002,P002,Albus Dumbledore,Ataque,Estupefaca,3,7,9,0,missao,14.97,77.64,76.94,81.93,1,0,246.54
2,E00003,P003,Albus Dumbledore,Ataque,Bombarda,4,3,4,0,treino,13.89,79.25,88.36,85.62,1,0,261.34000000000003
3,E00004,P004,Albus Dumbledore,Ataque,Confringo,4,9,8,0,duelo_real,13.79,85.3,87.36,81.13,0,0,255.99999999999997
4,E00005,P005,Albus Dumbledore,Ataque,Expelliarmus,2,4,9,1,exame,14.48,81.97,81.01,78.82,1,0,250.32000000000002
5,E00006,P006,Albus Dumbledore,Ataque,Estupefaca,3,10,4,1,duelo_real,13.87,85.55,82.57,86.45,1,0,260.7
6,E00007,P007,Albus Dumbledore,Ataque,Bombarda,4,6,9,1,exame,15.13,77.57,88.04,84.76,1,0,262.24
7,E00008,P008,Albus Dumbledore,Ataque,Confringo,5,10,7,0,duelo_real,14.63,81.12,79.49,77.72,0,0,240.70000000000002
8,E00009,P009,Albus Dumbledore,Ataque,Expelliarmus,2,4,7,0,exame,11.81,90.14,86.25,83.09,1,0,268.67
9,E00010,P010,Albus Dumbledore,Ataque,Estupefaca,3,4,3,0,exame,12.97,83.23,88.78,79.75,1,0,257.78999999999996
10,E00011,P011,Albus Dumbledore,Ataque,Bombarda,4,7,10,0,missao,14.65,77.18,75.95,77.42,1,0,243.9
11,E00012,P012,Albus Dumbledore,Ataque,Confringo,4,4,4,1,exame,14.46,78.29,83.14,79.25,1,0,248.22
12,E00013,P013,Albus Dumbledore,Ataque,Expelliarmus,2,5,2,0,exame,12.14,81.74,85.95,85.95,0,0,247.5
13,E00014,P014,Albus Dumbledore,Ataque,Estupefaca,3,2,2,0,treino,12.49,79.57,83.13,83.99,1,0,252.2
14,E00015,P015,Albus Dumbledore,Ataque,Bombarda,3,9,10,0,duelo_real,15.18,80.55,87.31,84.34,1,0,263.02000000000004
15,E00016,P016,Albus Dumbledore,Ataque,Confringo,5,2,4,0,treino,15.11,80.7,79.94,77.37,1,0,246.89999999999998
16,E00017,P017,Albus Dumbledore,Ataque,Expelliarmus,2,7,9,1,missao,13.22,83.53,84.13,89.88,1,0,267.31999999999994
17,E00018,P018,Albus Dumbledore,Ataque,Estupefaca,3,7,1,1,missao,11.62,80.16,83.51,85.31,1,0,254.36
18,E00019,P019,Albus Dumbledore,Ataque,Bombarda,4,9,6,0,duelo_real,14.38,81.14,85.3,83.63,1,0,259.69
19,E00020,P020,Albus Dumbledore,Ataque,Confringo,5,10,7,1,duelo_real,15.73,80.57,81.08,84.25,1,0,257.16999999999996
20,E00021,P021,Albus Dumbledore,Defesa,Protego,2,4,3,0,exame,13.1,85.7,95.22,88.48,1,0,273.3
