n_pasteis_fds,tempo_esteira_domingo,n_msgs_grupo_familia,cor_da_caneca,volume_cafe_tomado,tempo_rede_social,n_tarefas_pendentes,tipo_emoji_bom_dia,n_palavras_motivacionais,apagou_na_reuniao
8,0.11236463515011508,38,gatinho,335.5766325871802,1.9871728698715048,6,nenhum,3,0
11,21.03895697724112,31,branca,403.06077627381745,6.0714752498164275,2,foguinho,4,1
8,14.487853691952965,12,preta,258.8669953848062,0.9459054058101062,8,foguinho,10,0
8,3.7390635029511388,14,preta,69.36713291544885,2.959731955246956,1,bomba,8,1
5,10.771697549620004,17,branca,61.69213428289429,1.2118617332310828,10,girassol,6,1
11,7.469933896076868,38,gatinho,452.6173195103655,2.0638066343558554,2,foguinho,6,0
11,54.89270283704222,5,branca,132.62108596037095,1.2214658598796175,10,nenhum,9,1
8,8.416032807550135,10,laranja,16.86101017058652,7.094180068339414,1,girassol,6,1
2,32.25890783926075,31,laranja,587.7683334593646,5.855233592104255,10,bomba,14,1
4,35.58635730672987,39,preta,588.234911616416,4.487417968354091,8,foguinho,8,0
1,32.60936746251802,19,laranja,226.8848024062679,1.7954017799642648,3,nenhum,4,0
11,5.943386052959278,32,gatinho,15.314306734267923,4.081814617593559,1,nenhum,5,1
7,19.12790170503307,39,laranja,436.35879515564983,4.166665651580579,2,bomba,2,1
10,3.076219947789196,7,branca,498.60723629140153,4.72322980523125,3,foguinho,0,0
3,23.740194845778962,34,gatinho,75.00821406948586,0.48068125778185156,9,girassol,10,1
5,11.31593587629552,4,preta,81.27516894554176,7.78321576957365,5,nenhum,11,1
5,33.69795199706279,34,preta,493.33439981807436,3.723511764802585,4,bomba,1,1
4,41.56850363094603,13,laranja,553.1444332291409,7.412254192792826,2,nenhum,7,1
11,31.92719161228239,20,preta,474.4529020044898,0.07846491771181086,9,nenhum,12,1
11,26.054201796683746,23,branca,120.44696950171773,1.9804671650824712,7,foguinho,0,1
0,23.240005251401545,16,gatinho,246.91273166053256,0.8319645625066849,7,foguinho,9,0
10,50.501506085820225,17,branca,360.50545551954843,6.156929418838173,6,girassol,6,1
6,13.162083903916205,33,branca,96.17608429249722,2.5610003967576898,2,nenhum,4,0
9,44.05310037173213,11,branca,126.36149557950498,6.723940067325976,0,bomba,12,1
7,45.44893948440714,15,branca,169.73164324113299,6.659082925726856,4,nenhum,5,1
0,25.15200043624407,3,gatinho,305.7079621745019,5.342358342452559,0,bomba,7,1
9,17.83803595353836,24,gatinho,306.48293230652854,5.326254428351817,5,nenhum,3,0
6,28.232489162758515,33,branca,488.5767116085316,5.60127753658508,10,bomba,5,1
3,5.59283555356191,27,branca,451.80612041257535,5.390110677038196,6,nenhum,13,0
5,2.7558019337453987,10,preta,548.2414050659652,3.0952668614747925,11,nenhum,10,1
