qt_posts_comendo_milho,quantidade_de_fofura,n_de_aves_no_reels,uso_de_chapeu_de_palha,n_lagoas_visitadas,cor_do_lacinho,freq_banho_sol,tipo_de_trilha_sonora,nivel_interacao_humanos,viralizou
7,7.036827621064162,1,0,2,nenhum,4,sertanejo,2.3535049974553077,0
3,7.606885107368706,7,1,2,azul,0,drum’n’bass,0.2457419517258852,1
2,9.482873292345051,2,1,0,azul,5,sertanejo,0.9553106967317909,1
3,5.981471511555335,0,1,2,azul,7,lo-fi,3.9525680376682386,1
2,5.112822558526736,0,1,1,amarelo,0,drum’n’bass,2.2697941652392988,1
5,9.308324423495506,2,1,2,amarelo,1,sertanejo,1.5083112081557442,1
4,7.885585411939532,6,1,2,azul,1,funk rave,1.9200953698247907,1
3,9.453292277309213,6,1,4,amarelo,0,lo-fi,4.271997566628401,1
5,7.984726117065863,3,1,0,amarelo,7,lo-fi,3.7449950870247846,1
3,9.050805449798514,4,0,2,nenhum,6,lo-fi,1.3615769859054139,1
1,7.14836681677574,6,1,0,nenhum,2,funk rave,0.5875092010618665,1
3,8.749299656441345,3,0,0,azul,1,funk rave,1.2599911082203585,0
7,9.56520733444928,6,0,1,amarelo,6,drum’n’bass,4.603782255273669,1
3,7.860614818611031,1,0,2,nenhum,6,funk rave,2.9079441892487767,0
2,5.903925752811897,5,0,0,rosa,4,drum’n’bass,2.667401043723914,1
5,6.343988075150991,4,1,1,amarelo,5,lo-fi,2.9819679984623075,1
2,5.993222884487029,3,0,4,rosa,3,drum’n’bass,1.8301413287325763,0
4,6.234285137978665,5,1,3,azul,1,sertanejo,4.035535101597564,1
1,6.532077246755182,5,1,4,amarelo,0,lo-fi,2.616431246501249,1
3,7.775668933765942,7,1,2,azul,2,lo-fi,0.5837395138439777,1
8,7.939958147319164,6,0,2,azul,3,drum’n’bass,0.6453256241453148,1
3,7.132498736209305,7,1,2,azul,5,lo-fi,2.6842957325130916,1
5,8.077103899104177,2,1,1,azul,6,funk rave,4.6828510903541956,1
6,5.407874628056829,1,1,1,azul,5,sertanejo,1.5417606083809936,1
5,5.438941185290799,1,1,1,amarelo,7,drum’n’bass,4.347705844296091,1
4,5.859147301788292,1,1,1,rosa,1,drum’n’bass,3.8204779328943967,1
3,7.590387490201724,4,1,3,amarelo,5,lo-fi,1.2390622145345342,1
4,6.069973393491567,0,1,2,amarelo,5,funk rave,0.18170374158121227,1
0,6.416422017462887,4,1,2,amarelo,2,lo-fi,0.5092363257119137,1
8,7.00156418086497,3,0,2,nenhum,7,lo-fi,3.642469669237201,0
2,9.059330620051899,5,1,0,nenhum,7,drum’n’bass,0.9983486902032335,1
4,5.069310679564301,5,0,1,amarelo,6,lo-fi,1.8563546025269688,1
0,8.246894101183113,7,1,4,rosa,2,sertanejo,2.5084958300321243,1
1,8.344382655203427,0,1,2,amarelo,2,lo-fi,3.627340842250814,1
7,8.993278901783182,3,1,4,azul,0,lo-fi,0.5661561162956269,1
4,9.663764695301566,0,1,4,nenhum,5,drum’n’bass,2.0318320263873075,1
5,5.100689244746449,5,1,2,nenhum,5,lo-fi,2.425364545713477,1
1,5.768918527566081,6,1,1,amarelo,7,funk rave,2.7041353198576985,1
5,9.430856470279966,4,1,3,amarelo,5,drum’n’bass,4.091803206976083,1
1,7.292592810935076,1,1,3,rosa,4,lo-fi,0.8583909752160845,1
2,7.822953194667317,5,0,1,rosa,2,sertanejo,4.039157259133112,1
1,8.315136018615737,2,1,1,azul,3,sertanejo,3.464392138483261,1
4,8.395333022478187,1,1,4,amarelo,7,drum’n’bass,2.779354070994797,1
3,9.658702016582541,5,0,1,amarelo,1,drum’n’bass,3.4976393520128597,1
1,9.984747087058349,4,1,4,amarelo,7,lo-fi,2.060088694758282,1
3,8.600787304654702,0,0,0,nenhum,6,funk rave,0.6919879298406229,0
2,6.436106046025754,6,1,3,azul,3,lo-fi,3.3288262013268364,1
2,9.398762011471717,6,1,3,rosa,6,sertanejo,2.6233615334281115,1
1,5.246104572703808,1,1,3,nenhum,0,funk rave,3.1968740027138773,1
3,6.155404264372481,4,0,2,nenhum,0,funk rave,1.6899939051424502,1
2,9.486928587318573,6,0,1,nenhum,6,funk rave,4.534332886699179,1
3,6.280957572196774,6,0,0,nenhum,5,lo-fi,2.936849342877885,1
3,6.103255298108742,3,1,2,azul,3,sertanejo,0.42701242145436913,1
5,5.690626465701236,2,1,2,amarelo,5,drum’n’bass,2.2490199535221436,1
6,9.295558788234583,1,1,2,rosa,7,lo-fi,3.7817802737181716,1
3,7.500291295955433,0,1,3,rosa,4,drum’n’bass,3.970672808661362,1
5,8.374466015270773,6,1,3,nenhum,0,funk rave,2.472985263818794,1
2,6.195331920375148,3,1,1,nenhum,0,funk rave,4.473737854156505,1
2,8.790202105056082,4,1,2,azul,3,lo-fi,1.338342185971488,1
4,8.800027724810493,6,1,1,nenhum,0,sertanejo,2.052993486191333,1
3,6.562990124541501,7,1,2,rosa,4,funk rave,4.492984552844851,1
2,7.053413165051414,2,0,0,rosa,4,drum’n’bass,4.481283582357895,0
1,6.048451387151005,0,0,1,amarelo,4,drum’n’bass,3.4285638441234045,0
5,9.882805116614522,4,1,1,amarelo,1,lo-fi,4.2949027356111005,1
