n_senhas_com_nome_pet,antiguidade_modem,qt_leds_piscando,sinal_wifi_em_marte,n_gatos_em_casa,freq_fala_ets,cor_cabo_rede,gritou_roteador,filmes_mib,wifi_invadido
4,7,3,-93.69554603748527,3,4,azul,4,1,1
0,8,12,-76.38751958036954,2,4,rosa,4,1,1
2,3,14,-70.27992325916208,1,5,azul,2,5,1
3,5,10,-63.325006843047234,1,0,amarelo,2,1,1
0,3,5,-65.96789593401948,1,5,preto,1,4,0
0,7,12,-79.59922481087872,0,5,preto,4,5,1
4,6,8,-71.23931381952261,1,5,amarelo,2,6,1
0,11,14,-67.96866346504429,2,5,rosa,4,6,1
1,3,13,-80.26045145046605,0,3,rosa,0,4,1
1,9,2,-95.38289757182929,0,6,amarelo,3,1,0
2,12,14,-82.48276944610517,2,6,preto,3,5,1
0,1,8,-66.30087847193741,3,3,azul,5,6,1
4,10,3,-76.1343437842506,0,0,rosa,2,4,1
4,3,4,-71.02166491962643,0,3,azul,2,3,1
3,11,6,-92.5892791138965,2,0,preto,4,6,1
2,10,5,-61.426489271559774,0,4,azul,5,3,1
4,11,9,-83.83677882026763,3,6,amarelo,2,4,1
3,7,7,-73.85457909129084,1,1,rosa,4,4,1
4,3,7,-99.24510981637579,0,2,rosa,2,0,1
3,14,7,-94.90722950978835,1,6,amarelo,4,6,1
1,3,2,-68.71862920460325,0,3,amarelo,2,0,0
1,2,14,-61.28122217918981,1,3,rosa,1,2,1
4,9,13,-87.19778579778087,1,4,rosa,4,6,1
2,11,9,-98.5127706023494,1,3,rosa,1,5,1
0,4,5,-85.5653359207945,1,0,preto,1,2,0
2,10,6,-99.30127478883989,1,0,preto,1,2,0
2,13,8,-92.30507630950123,0,1,preto,1,1,1
0,6,9,-69.90111939785047,0,1,azul,0,3,0
1,2,9,-62.51646407574015,2,6,preto,5,1,1
1,9,13,-96.50203662524453,0,1,rosa,3,5,1
0,7,11,-77.68396884757962,0,0,preto,0,4,1
3,10,14,-89.84476615503873,0,5,rosa,2,0,1
2,5,3,-94.43763496824282,2,5,amarelo,2,5,0
4,7,4,-91.2407908043377,2,1,azul,5,4,1
1,14,7,-76.8894773000917,0,1,azul,3,5,1
4,4,0,-97.39461994224156,1,0,amarelo,3,4,1
0,13,11,-82.63125615326331,0,4,rosa,3,6,1
4,10,5,-94.59088596179345,0,6,azul,1,0,1
4,13,14,-89.09291790422074,0,3,preto,0,4,1
2,7,3,-92.36982681026944,0,6,rosa,2,2,0
0,2,4,-64.68098000676412,1,2,azul,0,5,0
4,7,10,-71.67954676514842,1,5,amarelo,0,0,1
1,4,4,-65.26149684210118,1,5,rosa,0,4,0
0,4,1,-84.6614866180923,2,0,azul,3,2,0
1,1,7,-87.4634654058532,2,6,amarelo,5,2,1
3,12,14,-84.77651220408931,0,0,rosa,5,6,1
4,3,1,-99.2580721710237,1,2,preto,3,3,1
0,5,3,-71.01182899405768,2,6,rosa,2,2,0
1,5,11,-86.00910172419687,0,2,preto,2,1,1
4,2,12,-87.46704785692833,1,1,rosa,2,0,1
2,4,4,-76.07435738517869,3,6,amarelo,5,0,1
1,1,13,-82.55000353160735,3,2,preto,5,0,1
1,9,0,-60.76626527104406,2,3,preto,0,4,0
3,1,5,-85.74987828404795,1,3,rosa,3,5,1
2,6,1,-75.44416631168346,0,5,azul,1,4,0
3,7,13,-87.53395597561394,1,3,preto,0,1,1
2,3,4,-60.37620079157373,2,6,rosa,4,5,1
1,12,14,-82.19555861119488,1,3,amarelo,5,6,1
3,1,5,-74.63484756532787,3,3,rosa,0,2,1
4,7,10,-94.93113316189292,0,1,rosa,3,4,1
2,3,7,-70.67903140545369,2,5,preto,4,5,1
1,13,8,-89.23159768497511,3,0,azul,0,2,1
0,10,12,-82.05546988681313,4,5,amarelo,3,5,1
2,12,14,-64.67467750690167,2,5,preto,3,2,1
2,12,11,-61.17789940459594,0,5,preto,5,5,1
4,6,5,-83.01711592638571,1,2,preto,1,4,1
2,13,4,-66.60789328182,0,0,amarelo,0,4,1
2,12,11,-97.86604021800557,0,2,azul,3,1,1
4,14,3,-66.0970388083895,1,1,amarelo,2,6,1
4,6,1,-74.81958711389402,0,1,amarelo,3,6,1
3,14,1,-80.45175326433592,3,4,azul,1,3,1
1,12,6,-64.40145179451008,2,4,amarelo,3,0,1
1,4,4,-66.18651109974346,0,1,rosa,5,4,1
3,12,6,-88.12219616185712,1,1,amarelo,0,4,1
1,11,12,-68.3404647062097,2,2,preto,5,2,1
2,6,10,-96.02036265350509,1,1,amarelo,0,3,0
3,11,0,-67.08944258130519,0,6,preto,4,6,1
3,10,0,-72.98177527906998,3,0,amarelo,0,4,1
1,4,4,-96.48534676272229,0,2,preto,4,5,1
0,13,1,-72.67679306103459,2,1,preto,5,6,1
1,8,7,-76.77922893294519,1,2,preto,2,3,0
0,9,13,-76.21799595419822,3,2,azul,1,0,1
3,2,14,-88.36544259481207,1,3,amarelo,2,5,1
0,7,2,-89.3401119994862,2,4,amarelo,4,2,1
2,9,0,-69.49859551783919,0,2,rosa,3,1,0
4,9,12,-89.72746075931043,2,5,rosa,3,5,1
0,12,1,-82.14950992760406,1,6,rosa,2,6,1
4,5,9,-72.2084400560486,1,6,amarelo,3,0,1
2,1,9,-96.81534994690249,1,2,azul,4,5,1
4,6,6,-76.21806469553371,0,5,preto,5,3,1
2,8,5,-76.42494509407531,0,6,amarelo,1,3,0
4,1,11,-72.63085156447897,1,3,azul,0,0,1
4,2,7,-85.20287618777365,1,1,azul,4,6,1
1,13,6,-82.04080903744641,4,2,amarelo,4,3,1
0,13,13,-86.80122744221225,1,3,preto,0,5,1
4,1,9,-67.67327011244896,0,0,azul,0,1,1
3,5,12,-94.7755695985547,1,3,amarelo,1,5,1
1,2,7,-61.481841856986804,1,4,preto,1,1,0
0,10,2,-74.6065537608313,0,4,rosa,1,3,0
1,10,5,-64.52373102431297,1,1,azul,3,5,0
0,14,12,-82.95074166940942,3,5,azul,4,3,1
2,4,6,-86.70883718432013,3,1,amarelo,5,6,1
4,1,14,-63.97096759504066,1,6,amarelo,0,1,1
3,7,9,-96.0450788449479,1,5,preto,4,6,1
1,8,10,-95.31571073978888,2,5,rosa,4,3,1
1,5,0,-88.0261289406129,1,5,rosa,1,4,0
1,2,0,-61.60900072934726,3,5,amarelo,1,2,0
1,8,6,-74.67725560539571,2,4,amarelo,4,5,1
4,1,12,-77.83225213538407,1,6,preto,1,4,1
0,7,10,-71.78574654578318,0,4,amarelo,3,6,0
4,1,12,-83.30101775687335,0,2,preto,0,3,1
2,12,2,-69.67705994316803,0,6,preto,4,3,1
4,6,2,-84.2707720810849,1,4,rosa,0,2,1
4,13,14,-66.94547260574141,0,1,preto,3,3,1
2,6,4,-89.30819671693982,0,4,rosa,1,2,0
4,5,14,-88.89813362807902,1,6,rosa,2,5,1
0,2,10,-79.10466778293059,1,6,rosa,3,1,0
3,2,5,-82.7695536655306,3,1,amarelo,2,2,1
2,9,1,-74.07536622861218,2,0,rosa,0,2,0
1,5,2,-85.42836981305685,1,6,preto,4,4,1
0,5,5,-90.77797403718533,1,4,amarelo,1,3,0
3,7,2,-81.20765748468395,1,1,preto,3,5,1
0,6,13,-77.56174002011414,2,5,amarelo,1,1,1
0,2,4,-94.29599784681238,1,6,preto,2,0,0
1,11,8,-77.73125497067339,0,3,azul,2,6,1
3,1,11,-87.22973179008413,3,5,azul,5,2,1
0,5,2,-84.30192460525969,0,2,azul,4,0,1
